1282	17
1796	3
1284	132
1797	2236
5126	2304
2311	3
1161	134
1034	28
1675	129
4750	6
4112	649
2834	18
3606	62
1304	61
1562	111
1691	1287
1435	155
4638	24
4895	279
2593	52
5025	56
2209	9
2594	69
4900	3
1446	6
1703	15
1704	19
1705	92
4651	29
5170	3
3891	947
1333	45
3382	305
2871	45
3000	120
4155	11
1340	13
1981	284
3517	342
2366	134
3391	505
3651	160
3781	8
1096	2
1611	65
2251	16
3536	21
2898	23
4306	18
1619	382
4307	10
1495	169
1367	187
3673	12
1372	2245
479	48
2914	205
2274	22
5219	450
2788	687
4324	38
2405	3
3429	22
1638	31
1004	28
1519	1717
2287	9
1013	16
1781	255
3958	297
2168	12
2808	321
1277	450
1662	78
4350	649
3455	7
